Scan Date:,2025-05-24 15:57:41Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
618,517.238549944738,62397,623.97
619,517.323059200245,55934,559.34
620,517.40756836039,51564,515.64
621,517.492077425417,46388,463.88
622,517.576586395573,42946,429.46
623,517.661095271101,72459,724.59
624,517.745604052248,80167,801.67
625,517.830112739258,62453,624.53
626,517.914621332376,60187,601.87
627,517.999129831848,57386,573.86
628,518.083638237919,50293,502.93
629,518.168146550834,45413,454.13
630,518.252654770838,42122,421.22
631,518.337162898176,40703,407.03
632,518.421670933093,39797,397.97
633,518.506178875835,39162,391.62
634,518.590686726646,38870,388.7
635,518.675194485772,39396,393.96
636,518.759702153457,43273,432.73
637,518.844209729948,44110,441.1
638,518.928717215489,41633,416.33
639,519.013224610325,43976,439.76
640,519.097731914701,45435,454.35
641,519.182239128863,43280,432.8
642,519.266746253055,41716,417.16
643,519.351253287523,40876,408.76
644,519.435760232512,40170,401.7
645,519.520267088267,39993,399.93
646,519.604773855033,39580,395.8
647,519.689280533056,39364,393.64
648,519.77378712258,39428,394.28
649,519.85829362385,39146,391.46
650,519.942800037113,42923,429.23
651,520.027306362612,43820,438.2
652,520.111812600593,41456,414.56
653,520.196318751301,39980,399.8
654,520.280824814981,39003,390.03
655,520.365330791879,38462,384.62
656,520.449836682239,38908,389.08
657,520.534342486307,39472,394.72
658,520.618848204327,39236,392.36
659,520.703353836546,42493,424.93
660,520.787859383207,43188,431.88
661,520.872364844557,48854,488.54
662,520.95687022084,71231,712.31
663,521.041375512301,72438,724.38
664,521.125880719186,58572,585.72
665,521.21038584174,50522,505.22
666,521.294890880208,59919,599.19
667,521.379395834834,61001,610.01
668,521.463900705865,55114,551.14
669,521.548405493545,50904,509.04
670,521.632910198119,45871,458.71
671,521.717414819833,43040,430.4
672,521.801919358931,41109,411.09
673,521.88642381566,40012,400.12
674,521.970928190263,43601,436.01
675,522.055432482986,186439,1864.39
676,522.139936694074,223868,2238.68
677,522.224440823773,150139,1501.39
